add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
divide,20,5
add,10,20
subtract,100,50
multiply,50,10
